node_id,lat,lon
692,38.8907966,-77.0799867
693,38.8911365,-77.0800287
694,38.8914808,-77.0800712
695,38.8916813,-77.0800959
696,38.8916885,-77.0800968
697,38.8874231,-77.0787488
698,38.8874291,-77.0787663
699,38.8874374,-77.0787846
700,38.887445,-77.0787967
701,38.887458,-77.0788124
702,38.8874725,-77.0788218
703,38.8874878,-77.0788294
704,38.8875102,-77.0788348
705,38.8880594,-77.0789049
706,38.8882784,-77.0789317
707,38.8883552,-77.0789425
708,38.888364,-77.0789437
709,38.8883921,-77.0789476
710,38.8884466,-77.0789552
711,38.8875583,-77.0766784
712,38.8876174,-77.076702
713,38.8877417,-77.0767516
714,38.8879045,-77.0768166
715,38.8880667,-77.0768813
716,38.8882345,-77.0769483
717,38.8885318,-77.0770669
718,38.888743,-77.0771512
719,38.8889979,-77.077253
720,38.8892478,-77.0773527
721,38.8892838,-77.0773683
722,38.8893098,-77.0773823
723,38.8893383,-77.0773998
724,38.8893569,-77.0774144
725,38.8893797,-77.0774364
726,38.8894032,-77.0774613
727,38.8894162,-77.0774768
728,38.8894366,-77.0775016
729,38.8894585,-77.0775318
730,38.8894775,-77.0775591
731,38.8894909,-77.0775874
732,38.8908989,-77.0771169
733,38.8909266,-77.0771203
734,38.8912122,-77.0771574
735,38.8912379,-77.0771607
736,38.8913954,-77.0771781
737,38.891411,-77.0771802
738,38.8914469,-77.0771855
739,38.8914992,-77.0771933
740,38.8915945,-77.0772071
741,38.8917146,-77.0772224
742,38.8917367,-77.0772243
743,38.8918433,-77.0772399
744,38.8919664,-77.0772556
745,38.892104,-77.0772696
746,38.8924464,-77.077311
747,38.8927835,-77.0773532
748,38.8928701,-77.077365
749,38.8929283,-77.077373
750,38.8931505,-77.0774035
751,38.8931756,-77.0774071
752,38.8932256,-77.0774178
753,38.8932814,-77.0774366
754,38.8995999,-77.0794629
755,38.8999405,-77.0794437
756,38.8904807,-77.0781991
757,38.8905166,-77.0782044
758,38.890846,-77.0782487
759,38.891169,-77.0782902
760,38.8911989,-77.0782945
761,38.8913425,-77.0783148
762,38.8914659,-77.0783308
763,38.8915138,-77.0783375
764,38.8916327,-77.078352
765,38.891862,-77.0783773
766,38.8920129,-77.0784048
767,38.8920462,-77.0784085
768,38.8923886,-77.0784497
769,38.8924033,-77.0784513
770,38.8924819,-77.078461
771,38.892716,-77.078494
772,38.8929455,-77.0785201
773,38.8929718,-77.0785239
774,38.8930621,-77.0785295
775,38.8944062,-77.0782431
776,38.8947189,-77.0782821
777,38.8948534,-77.0782985
778,38.8950394,-77.0783152
779,38.8874767,-77.0778923
780,38.887524,-77.0778979
781,38.8878639,-77.0779379
782,38.8882035,-77.077977
783,38.8883631,-77.0779967
784,38.8885488,-77.0780174
785,38.8886106,-77.0780235
786,38.8886392,-77.0780255
787,38.8886576,-77.0780259
788,38.8886711,-77.0780249
789,38.888682,-77.0780235
790,38.8886942,-77.0780214
791,38.888706,-77.0780192
792,38.8887181,-77.0780159
793,38.8887299,-77.0780128
794,38.8887432,-77.0780073
795,38.8887836,-77.0779875
796,38.8887955,-77.0779797
797,38.8888085,-77.0779706
798,38.8888284,-77.077955
799,38.8888403,-77.0779449
800,38.8888504,-77.077936
801,38.8888606,-77.0779254
802,38.8888679,-77.0779167
803,38.8888766,-77.0779065
804,38.8888849,-77.0778952
805,38.8888922,-77.0778833
806,38.8889015,-77.0778672
807,38.8889099,-77.07785
808,38.8889167,-77.0778354
809,38.8889244,-77.0778177
810,38.8889317,-77.0778002
811,38.8889383,-77.0777826
812,38.8889447,-77.0777648
813,38.8889494,-77.0777486
814,38.8889542,-77.0777308
815,38.8889582,-77.0777135
816,38.8889613,-77.0776967
817,38.888964,-77.0776769
818,38.888971,-77.0776139
819,38.8889845,-77.0773766
820,38.8889878,-77.0773426
821,38.8979678,-77.0791984
822,38.8980415,-77.079276
823,38.8980648,-77.079301
824,38.8981511,-77.0794012
825,38.8986364,-77.0799556
826,38.8986913,-77.0799945
827,38.8989837,-77.0800333
828,38.8973102,-77.0760772
829,38.8973252,-77.0759676
830,38.8973373,-77.0758022
831,38.8973385,-77.0757718
832,38.8973393,-77.0757476
